epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1
1,0.6996174978256225,0.6994708257675171,0.52225,0.5216,0.5220361960363015,0.5208023083545794
2,0.6858170317649841,0.6847517793655395,0.54555,0.5502,0.5454067747219609,0.5498620544359883
3,0.6694594443321228,0.6522837080001831,0.58565,0.6204,0.5856122067972904,0.5984105691228931
4,0.6623067031860351,0.6254825360298156,0.59835,0.6728,0.5974740138921975,0.6699577287669041
5,0.6718459522247314,0.6671820256233215,0.5795,0.587,0.5786543424113934,0.5756705914979345
6,0.6478017414093018,0.6920531956672669,0.6163,0.5292,0.6160915799578432,0.5291993220470237
